K,K_Level
142,L
339.35,VH
514.29,VH
496.98,VH
609.52,VH
576.73,VH
273.57,H
316.11,VH
521.02,VH
369.02,VH
364.64,VH
610.03,VH
578.41,VH
242.89,MH
225.64,MH
365.12,VH
512.4,VH
600.38,VH
469.67,VH
390.47,VH
312.3,VH
277.24,H
599.43,VH
370.99,VH
192.42,M
197.12,M
141.84,L
522.32,VH
310.07,VH
184.17,M
255.11,H
233.91,MH
414.27,VH
297.87,H
192.53,M
464.06,VH
549.66,VH
421.67,VH
295.5,H
494.75,VH
570.99,VH
287.89,H
539.54,VH
514.77,VH
578.83,VH
310.11,VH
274.61,H
158.21,M
354.05,VH
163.33,M
172.52,M
206.31,MH
237.38,MH
219.75,MH
331.53,VH
500.56,VH
287.65,H
436,VH
331.73,VH
453.32,VH
591.14,VH
446.34,VH
347.83,VH
308.59,VH
295.35,H
424.59,VH
587.2,VH
399.15,VH
145.68,L
474.49,VH
462.92,VH
526.04,VH
177.74,M
233.9,MH
440.34,VH
120.54,L
66.02,VL
151.53,M
268.42,H
332.11,VH
144.47,L
67.72,VL
80.34,VL
75.88,VL
510.11,VH
89.43,VL
227.95,MH
214.55,MH
107.89,L
153.39,M
471.25,VH
129.3,L
230.04,MH
94.21,VL
275.56,H
292.29,H
230.25,MH
83.05,VL
176.64,M
127.89,L
265.11,H
394.42,VH
346.69,VH
522.31,VH
69.55,VL
461.15,VH
100.73,FALSE
103.22,L
78.78,VL
23.8,VL
295.86,H
282.73,H
235.15,MH
249.55,MH
311.07,VH
154.43,M
501.1,VH
416.71,VH
77.3,VL
239.01,MH
61.47,VL
155.12,M
82.4,VL
218.81,MH
184.83,M
161.28,M
378.53,VH
442.08,VH
523.12,VH
157.5,M
93.65,VL
146.47,L
255.21,H
245.56,MH
213.1,MH
93.38,VL
58.8,VL
351.61,VH
153.87,M
581.11,VH
590.2,VH
63.6,VL
144.19,L
301.25,VH
283.02,H
382.75,VH
241.43,MH
262.76,H
209.43,MH
177.91,M
367.65,VH
53.28,VL
29.37,VL
161.01,M
82.25,VL
71.56,VL
122.97,L
504.23,VH
512.38,VH
228.58,MH
114.11,L
246.5,MH
164.7,M
467.71,VH
59.45,VL
159.98,M
72.47,VL
173.4,M
488.36,VH
353.75,VH
295.45,H
231.49,MH
44.92,VL
161.75,M
71.47,VL
187.07,M
202.02,MH
156.91,M
45.39,VL
170.49,M
249.28,MH
341.18,VH
541.1,VH
301.41,VH
104.89,L
130.06,L
424.41,VH
424.41,VH
512.21,VH
64.04,VL
71.09,VL
74.15,VL
73.84,VL
76.54,VL
61.19,VL
63.16,VL
69.33,VL
73.34,VL
82.77,VL
62.63,VL
62.84,VL
56.16,VL
62.65,VL
62.19,VL
60.12,VL
62.64,VL
62.18,VL
59.58,VL
63.77,VL
65.04,VL
58.87,VL
57.6,VL
62.75,VL
59.04,VL
60.73,VL
63.17,VL
77.97,VL
69.81,VL
71.63,VL
69.4,VL
60.78,VL
60.48,VL
83.75,VL
71.5,VL
69.94,VL
60.6,VL
61.69,VL
70.01,VL
65.04,VL
57.03,VL
53.88,VL
52.43,VL
55.37,VL
54.9,VL
57.05,VL
58.41,VL
48.32,VL
54.28,VL
55.35,VL
59.59,VL
59.83,VL
60.77,VL
61.19,VL
55.37,VL
67.8,VL
66.25,VL
64.16,VL
67.52,VL
70.77,VL
76.85,VL
67.43,VL
57.39,VL
50.57,VL
54.15,VL
56.66,VL
54.53,VL
51.4,VL
49,VL
53.07,VL
49.55,VL
54.88,VL
53.92,VL
51.83,VL
186.9,M
183.04,M
59.62,VL
178.08,M
186.83,M
186.67,M
166.44,M
54.14,VL
52.87,VL
183.24,M
183.14,M
171.71,M
55.61,VL
62.32,VL
65.52,VL
58.7,VL
58.98,VL
193.09,M
183.78,M
209.46,MH
55.12,VL
53.88,VL
54.29,VL
222.06,MH
216.28,MH
200.05,M
112.51,L
212.91,MH
204.29,MH
193.58,M
202.64,MH
203.9,MH
216.61,MH
54.74,VL
215.08,MH
230.46,MH
241.94,MH
209.86,MH
235.35,MH
224.92,MH
208.95,MH
210.4,MH
188.16,M
197.68,M
177.58,M
193.76,M
198.4,M
207.09,MH
185,M
182.11,M
182,M
137.06,L
112.45,L
47.51,VL
59,VL
47.7,VL
57.16,VL
48.25,VL
58.85,VL
34.57,VL
58.84,VL
59.94,VL
52.63,VL
42.57,VL
45.41,VL
49.43,VL
46.5,VL
42.2,VL
46.51,VL
49.7,VL
51.79,VL
43.91,VL
54.28,VL
50.33,VL
51.83,VL
49.67,VL
56.73,VL
53.14,VL
55.09,VL
52.34,VL
54.42,VL
53.48,VL
59.77,VL
66.15,VL
55.47,VL
60.58,VL
62.21,VL
75.82,VL
63.26,VL
59.1,VL
59.6,VL
61.79,VL
51.98,VL
67.54,VL
53.23,VL
60.35,VL
56.48,VL
60.9,VL
52.55,VL
65.8,VL
58.61,VL
64.77,VL
66.07,VL
64.36,VL
61.12,VL
60.98,VL
55.66,VL
53.37,VL
94.57,VL
91.8,VL
90.78,VL
100.7,FALSE
97.01,VL
87.21,VL
47.74,VL
59.39,VL
57.44,VL
97.05,VL
113.18,L
500.11,VH
90.73,VL
98.01,VL
94.73,VL
79.44,VL
341.05,VH
438.22,VH
340.18,VH
310.42,VH
352.39,VH
325.26,VH
348.52,VH
404.92,VH
330.59,VH
265.11,H
309.05,VH
356.62,VH
255.18,H
280.04,H
355.49,VH
374.5,VH
330.91,VH
292.11,H
357.79,VH
346,VH
332.77,VH
289.7,H
326.73,VH
321.94,VH
324.06,VH
318.62,VH
284.11,H
398.26,VH
286.95,H
401.09,VH
304.74,VH
348.72,VH
451.13,VH
401.67,VH
353.99,VH
350.56,VH
439.11,VH
402.45,VH
296.37,H
438.52,VH
362.65,VH
382.39,VH
357.95,VH
295.12,H
295.11,H
361.99,VH
274.73,H
295.34,H
390.46,VH
310.88,VH
292.9,H
320.21,VH
289.6,H
278.22,H
316.12,VH
317.74,VH
309.05,VH
594.76,VH
289.71,H
304.25,VH
292.16,H
294.11,H
335.68,VH
362.15,VH
346.71,VH
274.29,H
455.37,VH
283.57,H
292.16,H
379.06,VH
302.84,VH
268.79,H
229.29,MH
382.64,VH
384.99,VH
386.17,VH
425.9,VH
360.28,VH
341.74,VH
251.34,H
294.2,H
372.69,VH
249.55,MH
280.68,H
263.51,H
309.06,VH
388.63,VH
289.18,H
278.06,H
323.41,VH
373.28,VH
318.07,VH
428.46,VH
399.93,VH
417.39,VH
418.67,VH
354.3,VH
343.42,VH
382.56,VH
420.54,VH
223.95,MH
364.09,VH
366.43,VH
369.39,VH
286.04,H
265.36,H
227.69,MH
206.78,MH
405.68,VH
510.22,VH
397.58,VH
345.02,VH
271.38,H
312.71,VH
201.07,MH
420.4,VH
186.72,M
251.11,H
344.94,VH
351.48,VH
364.19,VH
444.22,VH
470.92,VH
326.76,VH
405.21,VH
349.87,VH
275.11,H
292.01,H
465.67,VH
381.59,VH
460.6,VH
475.81,VH
442.88,VH
440.31,VH
434.57,VH
221.45,MH
270.99,H
310.55,VH
235.66,MH
244.03,MH
205.8,MH
230.76,MH
449.67,VH
302.46,VH
310.87,VH
236.08,MH
430.18,VH
224.73,MH
376.2,VH
337.42,VH
328.52,VH
356.19,VH
361.26,VH
449.37,VH
319.24,VH
307.12,VH
350.38,VH
353.1,VH
359.31,VH
362.24,VH
349.53,VH
326.64,VH
349.99,VH
328.69,VH
326.29,VH
384.76,VH
342.73,VH
341.23,VH
375.86,VH
425.3,VH
382.86,VH
379.94,VH
382.03,VH
512.23,VH
247.22,MH
232.92,MH
359.97,VH
274.77,H
388.43,VH
342.4,VH
225.35,MH
412.4,VH
353.47,VH
359.92,VH
286.19,H
336.39,VH
321.83,VH
251.59,H
382.14,VH
402.64,VH
313.71,VH
408.3,VH
249.23,MH
316.45,VH
337.84,VH
314.81,VH
371.77,VH
354.46,VH
432.99,VH
310.28,VH
350.6,VH
380.49,VH
349.1,VH
363.26,VH
338.58,VH
275.13,H
388.91,VH
403.87,VH
458.25,VH
347.73,VH
335.54,VH
441.79,VH
398.94,VH
432.99,VH
430.67,VH
319.08,VH
303.46,VH
380.83,VH
346.58,VH
334.89,VH
347.12,VH
284.58,H
351.69,VH
208,MH
391.44,VH
420,VH
263.71,H
292.79,H
344.78,VH
389.45,VH
304.11,VH
314.37,VH
296.79,H
405.9,VH
385.58,VH
352.46,VH
353.36,VH
281.75,H
312.49,VH
337.34,VH
355.4,VH
352.49,VH
443.2,VH
274.9,H
365.39,VH
273.58,H
294.11,H
33.28,VL
279.42,H
382.56,VH
191.07,M
321.33,VH
421.04,VH
321.74,VH
401.26,VH
382.29,VH
307.8,VH
368.73,VH
313.77,VH
264.95,H
357.57,VH
265.54,H
185.33,M
278.72,H
380.08,VH
376.63,VH
361.92,VH
319.48,VH
371.24,VH
392.38,VH
350.32,VH
507.72,VH
302.19,VH
481.18,VH
410.03,VH
308.18,VH
448.14,VH
304.54,VH
407.08,VH
444.54,VH
305.4,VH
401.08,VH
373.8,VH
427,VH
416.95,VH
339.04,VH
294.15,H
365.43,VH
406.57,VH
423.03,VH
383.79,VH
378.76,VH
385.4,VH
379.63,VH
426.78,VH
435.32,VH
395.01,VH
334.92,VH
345.05,VH
321.25,VH
341.77,VH
336.98,VH
309.41,VH
388.07,VH
373.02,VH
229.54,MH
404.41,VH
342.42,VH
364.19,VH
375.66,VH
356.17,VH
378.28,VH
384.05,VH
366.28,VH
451.88,VH
350.66,VH
377.1,VH
331.08,VH
379.44,VH
380.36,VH
381.28,VH
406.29,VH
441.74,VH
474.4,VH
510.22,VH
349.71,VH
448.1,VH
334.82,VH
345.7,VH
447.36,VH
417.35,VH
336.34,VH
320.29,VH
328.96,VH
466.02,VH
401.78,VH
542.18,VH
482.82,VH
288.63,H
474.37,VH
439.57,VH
486.94,VH
439.82,VH
369.7,VH
297.96,H
358.84,VH
367.7,VH
395.41,VH
244.3,MH
205.81,MH
202.46,MH
210.45,MH
202.58,MH
163.88,M
196.96,M
174.96,M
183.75,M
118.38,L
237.42,MH
185.33,M
200.91,M
143.53,L
193.23,M
214.29,MH
215.47,MH
229.89,MH
192.42,M
192.45,M
163.6,M
206.16,MH
185.21,M
224.36,MH
75.44,VL
160.97,M
163.92,M
212.7,MH
49.75,VL
70.53,VL
130.69,L
199.36,M
209.91,MH
178.91,M
195.89,M
188.05,M
247.3,MH
211.12,MH
161.96,M
251.83,H
274.08,H
195.33,M
213.83,MH
226.24,MH
202,MH
198.92,M
204.12,MH
191.27,M
180.68,M
201.62,MH
224.11,MH
194.29,M
178.98,M
206.57,MH
214.4,MH
163.05,M
237.57,MH
204.14,MH
241.42,MH
186.49,M
189.52,M
227.5,MH
189.67,M
216.87,MH
188.89,M
501.11,VH
537.08,VH
385.04,VH
525.16,VH
124.02,L
366.46,VH
178.43,M
431.41,VH
95.09,VL
508.19,VH
91.96,VL
118.7,L
439.57,VH
194.79,M
189.35,M
416.44,VH
460.91,VH
503.38,VH
102.71,L
350.53,VH
451.24,VH
454.22,VH
122.67,L
441.2,VH
354.39,VH
402.6,VH
133.19,L
111.18,L
130.57,L
103.55,L
117.29,L
83.64,VL
169.5,M
336.5,VH
524.45,VH
114.82,L
165.46,M
536.18,VH
161.66,M
502.33,VH
161.79,M
389.38,VH
450.1,VH
501.11,VH
141.89,L
137.14,L
545.8,VH
199.03,M
482.03,VH
505.48,VH
476.29,VH
433.14,VH
485.99,VH
475,VH
341.05,VH
438.22,VH
409.92,VH
225.04,MH
534.52,VH
575.18,VH
527.45,VH
512.41,VH
502.44,VH
485.43,VH
265.77,H
271.61,H
295.21,H
583.64,VH
587.49,VH
599.03,VH
267.73,H
587.94,VH
254.58,H
591.99,VH
507.39,VH
598.03,VH
338.41,VH
607.77,VH
239.38,MH
234.17,MH
565.6,VH
216.78,MH
230.35,MH
274.36,H
250.37,MH
247.67,MH
595.14,VH
252.64,H
281.83,H
618.68,VH
577.27,VH
593.11,VH
339.13,VH
572.39,VH
588.21,VH
245.34,MH
279.8,H
542.23,VH
306.17,VH
611.1,VH
598.14,VH
339.72,VH
579.07,VH
269.18,H
484.47,VH
239.8,MH
588.49,VH
491.93,VH
600.13,VH
592.02,VH
266.03,H
572.14,VH
482.99,VH
224.82,MH
267.76,H
262.3,H
616.78,VH
292.91,H
588.64,VH
559.85,VH
555.14,VH
574.66,VH
566.72,VH
270.46,H
269.4,H
226.69,MH
595.31,VH
578.57,VH
598.92,VH
371.36,VH
580.68,VH
589.79,VH
235.19,MH
561.44,VH
603.38,VH
591.6,VH
602.07,VH
591.72,VH
581.18,VH
588.07,VH
592.54,VH
564.19,VH
575.66,VH
584.05,VH
566.28,VH
577.1,VH
579.44,VH
606.29,VH
594.71,VH
583.97,VH
568.78,VH
595.01,VH
580.36,VH
607.44,VH
594.71,VH
538.63,VH
580.98,VH
563.08,VH
610.3,VH
566.14,VH
493.26,VH
577.5,VH
588.43,VH
470.87,VH
597.42,VH
541.84,VH
584.17,VH
597.7,VH
610.84,VH
496.67,VH
563.89,VH
606.07,VH
569.3,VH
603.24,VH
589.01,VH
575.84,VH
560.21,VH
494.04,VH
500.16,VH
491.09,VH
580.12,VH
372.8,VH
597.07,VH
601,VH
547.88,VH
589.82,VH
559.39,VH
606.4,VH
282.08,H
568.39,VH
542.7,VH
586.89,VH
302.24,VH
433.79,VH
286.48,H
594.12,VH
600.33,VH
563,VH
527.28,VH
584.65,VH
569.94,VH
588.96,VH
581.07,VH
596.21,VH
464.89,VH
470.62,VH
446.22,VH
276.34,H
596.62,VH
609.2,VH
245.57,MH
283.73,H
467.84,VH
300.55,VH
370.68,VH
353.03,VH
586.93,VH
282.18,H
444.87,VH
426.97,VH
327.93,VH
272.85,H
512.73,VH
361.41,VH
491.01,VH
261.33,H
619.43,VH
274.05,H
348.49,VH
307.23,VH
282.27,H
593.35,VH
568.46,VH
474.19,VH
596.95,VH
475.72,VH
618.66,VH
533.53,VH
488.2,VH
321.38,VH
587.91,VH
274.68,H
593.48,VH
573.65,VH
282.48,H
446.5,VH
257.37,H
253.88,H
273.07,H
584.76,VH
573.68,VH
293.3,H
306.12,VH
271.51,H
396.97,VH
306.09,VH
260,H
500.3,VH
281.31,H
303.93,VH
456.04,VH
610.04,VH
311.77,VH
269.21,H
324.25,VH
534.21,VH
259.52,H
500.44,VH
400.19,VH
276.55,H
595.14,VH
320.1,VH
316.53,VH
283.25,H
330.1,VH
539.62,VH
602.13,VH
448.19,VH
487.81,VH
563.52,VH
493.09,VH
540.25,VH
259.87,H
275.19,H
438.9,VH
610.89,VH
409.59,VH
583.16,VH
431.43,VH
421.53,VH
433.66,VH
431.54,VH
533.14,VH
321.55,VH
434.6,VH
244.53,MH
493.49,VH
293.16,H
261.78,H
583.48,VH
577.82,VH
603.4,VH
422.4,VH
255.25,H
297.92,H
235.81,MH
260.41,H
435.76,VH
389.72,VH
430.41,VH
491.15,VH
524.47,VH
599.61,VH
397.74,VH
270.46,H
275.28,H
537.67,VH
579.85,VH
432.99,VH
256.43,H
294.33,H
277.31,H
287.51,H
306.47,VH
419.75,VH
421.52,VH
411.57,VH
311.95,VH
285.78,H
394.26,VH
359.4,VH
302.55,VH
394.8,VH
258.25,H
274.11,H
241.03,MH
280.41,H
444.17,VH
524.91,VH
318.52,VH
397.55,VH
497.54,VH
575.72,VH
419.96,VH
456.89,VH
433.24,VH
489.76,VH
522.24,VH
525.2,VH
471.74,VH
319.24,VH
300.93,VH
305.73,VH
618.11,VH
422.58,VH
404.69,VH
415.78,VH
386.37,VH
408.73,VH
283,H
278.32,H
308.85,VH
279.67,H
309.78,VH
582.91,VH
317.16,VH
467.21,VH
362.36,VH
397.42,VH
372.05,VH
374.24,VH
450.25,VH
352.86,VH
397.17,VH
271.34,H
605.53,VH
304.77,VH
316.51,VH
353.26,VH
271.27,H
299.92,H
349.04,VH
294.71,H
265.48,H
381.78,VH
315.66,VH
296.1,H
380.72,VH
383.52,VH
306.12,VH
309.61,VH
474.45,VH
390.21,VH
592.93,VH
477.75,VH
289.53,H
238.68,MH
269.32,H
277.65,H
300.38,VH
524.75,VH
276.61,H
473.77,VH
300.4,VH
320.28,VH
405.52,VH
259.14,H
433.46,VH
329.92,VH
277.82,H
313.86,VH
318.89,VH
321.43,VH
306.31,VH
294.76,H
330.66,VH
253,H
333.35,VH
385.5,VH
341.16,VH
290.46,H
352.3,VH
351.18,VH
329.19,VH
325.42,VH
367.92,VH
320.71,VH
282.2,H
281.23,H
304.88,VH
289.83,H
297.99,H
271.51,H
313.94,VH
619.12,VH
461,VH
388.72,VH
303.13,VH
274.01,H
312.38,VH
297.64,H
358.76,VH
385.73,VH
289.44,H
282.23,H
370.99,VH
337.06,VH
340.74,VH
296.56,H
278.9,H
337.86,VH
303.3,VH
294.84,H
274.81,H
239.98,MH
268.27,H
506.43,VH
498.29,VH
283.46,H
301.38,VH
279.04,H
445.41,VH
267.22,H
283.99,H
298.38,H
300.17,VH
260.1,H
263.99,H
250.27,MH
273.66,H
284,H
312.15,VH
244.13,MH
262.43,H
291.45,H
483.12,VH
470.41,VH
434.82,VH
468,VH
484.28,VH
533.7,VH
595.52,VH
601.01,VH
228.37,MH
436.2,VH
257.8,H
408.13,VH
354.02,VH
339.77,VH
587.67,VH
610.11,VH
586.59,VH
413.05,VH
619.75,VH
509.4,VH
512.68,VH
538.94,VH
584.38,VH
367.87,VH
222.45,MH
580.18,VH
569.79,VH
581.73,VH
594.98,VH
542,VH
608.95,VH
564.21,VH
367.64,VH
594.15,VH
556.6,VH
349.45,VH
592.09,VH
451.87,VH
572.54,VH
602.44,VH
367.93,VH
292.23,H
320.36,VH
602,VH
589.08,VH
509.49,VH
498.63,VH
574.14,VH
315.87,VH
346.53,VH
333.78,VH
350.43,VH
595.11,VH
581.18,VH
299.5,H
598.84,VH
300.8,VH
282.2,H
310.91,VH
301.26,VH
453.55,VH
591.27,VH
578.98,VH
351.7,VH
601.62,VH
263.51,H
272.97,H
272.73,H
286.8,H
306.8,VH
601.09,VH
516.76,VH
340.49,VH
593.44,VH
67.54,VL
544.98,VH
446.52,VH
310.76,VH
300.57,VH
390.41,VH
261.22,H
559.87,VH
459.85,VH
296.53,H
328.75,VH
574.43,VH
569.78,VH
518.54,VH
584.72,VH
236.64,MH
589.1,VH
153.48,M
395.83,VH
320.62,VH
478.11,VH
301.37,VH
570.14,VH
560.17,VH
472.64,VH
590.14,VH
264.5,H
327.13,VH
601.09,VH
369.1,VH
280.77,H
537.14,VH
598.19,VH
566.5,VH
369.59,VH
390.98,VH
307.59,VH
576.48,VH
488.83,VH
429.93,VH
595.14,VH
324.17,VH
528.34,VH
315.49,VH
457.08,VH
401.69,VH
323.62,VH
603.38,VH
302.93,VH
315.2,VH
282.33,H
322.8,VH
266.06,H
587.64,VH
367.61,VH
507.18,VH
114.42,L
311.26,VH
199.69,M
324.25,VH
213.31,MH
269.57,H
592.64,VH
584.33,VH
214.98,MH
279.69,H
588.14,VH
594.35,VH
409.67,VH
418.56,VH
261.7,H
493.85,VH
164.81,M
62.74,VL
128.69,L
64.84,VL
159.22,M
65.9,VL
314.77,VH
419.73,VH
456.43,VH
31.59,VL
471.5,VH
113.38,L
441.7,VH
43.65,VL
58.99,VL
152.74,M
580.59,VH
350.36,VH
129.69,L
134.1,L
503.99,VH
179.9,M
519.89,VH
287.58,H
71.66,VL
154.09,M
523.56,VH
456.45,VH
185,M
229.26,MH
334.63,VH
576.64,VH
160.73,M
599.04,VH
45.54,VL
610.91,VH
401.24,VH
407.28,VH
54.89,VL
94.52,VL
168.22,M
293.87,H
469.24,VH
314.14,VH
421.71,VH
585.48,VH
395.72,VH
97.29,VL
143.61,L
492.63,VH
357.2,VH
260.86,H
618.41,VH
387.52,VH
493.33,VH
323.86,VH
312.91,VH
201.62,MH
303.52,VH
591.93,VH
369.72,VH
223.9,MH
500.14,VH
591.43,VH
577.8,VH
596.01,VH
499.93,VH
434.58,VH
230.32,MH
597.78,VH
593.76,VH
440.93,VH
588.78,VH
603.04,VH
612.06,VH
65.28,VL
446.68,VH
135.26,L
148.07,L
396.99,VH
180.41,M
410.06,VH
424.02,VH
599.48,VH
524.58,VH
545.62,VH
124.24,L
370.81,VH
338.39,VH
383.58,VH
178.81,M
347.52,VH
403.61,VH
171.05,M
331.82,VH
504.31,VH
277.48,H
278.64,H
600.08,VH
130.66,L
48.52,VL
589.48,VH
308.8,VH
330.4,VH
316.2,VH
226.39,MH
271.89,H
238.32,MH
254.62,H
247.07,MH
247.39,MH
261.54,H
232.39,MH
254.1,H
244.6,MH
242.45,MH
239.61,MH
219.51,MH
199.4,M
545.66,VH
263.33,H
236.48,MH
538.65,VH
238.42,MH
337.4,VH
237.4,MH
245.81,MH
290.44,H
587.09,VH
588.06,VH
254.61,H
410.28,VH
245.9,MH
296.9,H
202.23,MH
