Ca,Mg,K,S,N,Lime,C,P,Moisture
1.416,35.25,317.16,11,203.7,5.69,0.6,72,0.5
1.852,39.41,467.21,10,194,5.5,0.45,99,0.7
1.586,34.87,362.36,21,213.4,5.73,0.38,90,0.7
0.86,26.35,397.42,27,194,6.63,0.48,65,0.5
1.005,26.32,372.05,26,145.5,6.71,0.43,78,0.8
0.981,35.06,374.24,34,203.7,5.41,0.39,106,0.5
1.755,39.56,450.25,18,223.1,5.86,0.41,86,0.7
1.102,24.71,352.86,30,145.5,6.63,0.43,66,0.8
0.738,20.59,397.17,38,174.6,6.77,0.48,87,0.5
1.441,37.08,271.34,19,184.3,5.5,0.49,186,0.6
1.029,23.65,605.53,27,145.5,6.57,0.67,72,0.6
0.835,23.87,304.77,18,155.2,6.77,0.33,56,0.5
0.908,24.41,316.51,24,155.2,6.84,0.34,67,0.9
1.053,25.82,353.26,19,145.5,6.8,0.49,43,0.6
0.835,24.18,271.27,20,145.5,6.97,0.39,58,0.6
0.932,24.71,299.92,24,164.9,6.85,0.47,49,0.9
1.005,25.52,349.04,28,194,6.85,0.49,58,0.8
0.835,25.25,294.71,35,155.2,6.9,0.58,66,0.7
1.029,22.5,265.48,18,145.5,6.95,0.4,66,0.5
0.787,24.9,381.78,30,174.6,6.8,0.59,71,0.6
1.005,25.1,315.66,22,155.2,6.92,0.54,48,0.9
0.787,21.74,296.1,19,135.8,6.89,0.61,40,0.9
0.787,24.75,380.72,21,145.5,6.85,0.59,56,0.7
1.174,27.27,383.52,27,174.6,6.89,0.61,70,0.6
1.053,24.26,306.12,25,164.9,6.96,0.54,48,0.5
1.295,35.36,309.61,106,194,5.48,0.55,61,0.6
1.562,40.32,474.45,26,242.5,5.52,0.51,84,0.6
1.586,40.32,390.21,22,213.4,5.56,0.55,97,0.5
1.441,39.52,592.93,24,155.2,5.72,0.46,77,0.9
1.78,40.29,477.75,40,223.1,5.68,0.63,69,0.8
1.271,35.67,289.53,35,164.9,5.54,0.62,101,0.8
1.247,32.54,238.68,20,174.6,5.5,0.52,44,0.7
1.562,35.13,269.32,19,145.5,5.34,0.47,50,0.9
1.029,35.13,277.65,20,213.4,5.31,0.51,55,0.9
1.441,36.13,300.38,15,194,5.32,0.6,49,0.6
1.901,43.03,524.75,20,194,5.75,0.43,68,0.9
1.368,36.7,276.61,20,174.6,5.27,0.56,64,0.6
1.368,37.96,473.77,15,184.3,5.75,0.48,60,0.6
0.884,24.22,300.4,11,135.8,6.7,0.53,64,0.6
0.908,25.02,320.28,15,174.6,6.64,0.54,64,0.9
0.787,24.48,405.52,13,155.2,6.82,0.6,67,0.7
0.738,24.26,259.14,16,145.5,6.92,0.51,45,0.6
0.884,25.25,433.46,25,174.6,6.9,0.64,74,0.5
0.763,21.43,329.92,22,232.8,6.95,0.53,67,0.8
0.763,21.2,277.82,22,184.3,6.97,0.46,89,0.8
0.908,20.44,313.86,23,174.6,6.99,0.49,66,0.6
0.835,20.1,318.89,31,164.9,6.98,0.46,81,0.5
1.029,21.43,321.43,33,164.9,6.96,0.57,74,0.6
0.666,19.06,306.31,30,155.2,6.98,0.56,60,0.6
0.714,20.78,294.76,25,174.6,6.96,0.52,70,0.5
1.102,24.1,330.66,24,174.6,6.87,0.49,72,0.6
1.344,33.45,253,21,194,5.26,0.5,45,0.5
1.392,35.36,333.35,16,213.4,5.29,0.43,32,0.6
1.271,36.66,385.5,19,194,5.45,0.58,38,0.9
1.15,32.23,341.16,16,174.6,5.32,0.49,40,0.9
1.489,35.9,290.46,26,213.4,5.8,0.61,41,0.6
1.513,34.83,352.3,13,174.6,5.24,0.61,30,0.6
1.683,35.94,351.18,18,213.4,5.2,0.52,28,0.5
1.174,34.06,329.19,9,223.1,5.2,0.45,26,0.7
1.901,37.54,325.42,9,203.7,5.38,0.46,30,0.9
1.199,34.22,367.92,20,174.6,5.13,0.49,35,0.5
1.84,36.15,320.71,16,194,5.89,0.56,150,0.7
1.389,31.67,282.2,16,174.6,5.42,0.62,45,0.7
1.493,32.37,281.23,14,194,5.54,0.48,64,0.6
1.701,34.17,304.88,20,174.6,5.44,0.63,46,0.8
1.562,33.91,289.83,21,194,5.39,0.75,48,0.8
1.528,34.55,297.99,22,194,5.41,0.56,60,0.9
1.319,32.05,271.51,17,203.7,5.24,0.61,55,0.7
1.528,34.55,313.94,19,194,5.26,0.69,52,0.6
1.042,10.58,619.12,19,213.4,7.56,0.78,39,0.7
1.389,18.08,461,16,174.6,7.48,0.67,42,0.8
1.562,34.23,388.72,19,2425,6.32,0.53,52,0.8
1.736,36.92,303.13,19,194,5.59,0.58,45,0.9
1.319,30.9,274.01,16,223.1,5.68,0.58,38,0.8
1.424,34.68,312.38,19,203.7,5.22,0.6,35,0.6
1.319,30.77,297.64,27,232.8,5.73,0.63,32,0.9
1.215,22.88,358.76,25,174.6,6.75,0.61,28,0.9
1.111,40.06,385.73,21,194,6.96,0.65,35,0.8
0.868,35.58,289.44,28,252.2,6.85,0.51,57,0.5
0.799,15.96,282.23,42,203.7,7.14,0.54,52,0.6
0.521,16.41,370.99,31,184.3,7.7,0.67,61,0.9
1.25,20.71,337.06,40,194,7.03,0.61,68,0.5
1.285,22.82,340.74,48,194,6.91,0.49,52,0.6
1.111,23.4,296.56,23,174.6,7.19,0.47,59,0.6
1.111,25.45,278.9,29,174.6,7.07,0.63,72,0.5
0.903,21.35,337.86,14,145.5,6.88,0.49,75,0.5
1.424,34.1,303.3,14,213.4,5.72,0.47,50,0.7
1.389,34.74,294.84,18,164.9,5.56,0.69,45,0.7
1.354,33.78,274.81,15,155.2,5.53,0.45,52,0.7
1.458,32.69,239.98,15,164.9,5.56,0.45,60,0.7
1.319,34.49,268.27,19,155.2,5.59,0.33,62,0.6
0.937,18.65,506.43,8,174.6,6.91,0.58,45,0.6
1.562,19.55,498.29,2,184.3,7.61,0.57,50,0.5
1.111,18.4,283.46,2,194,6.98,0.46,66,0.9
0.972,21.79,301.38,2,174.6,7.09,0.46,62,0.6
0.799,21.67,279.04,1,145.5,7.17,0.53,70,0.5
0.972,16.41,445.41,5,145.5,7.76,0.63,80,0.7
0.937,20,267.22,2,155.2,7.12,0.3,65,0.5
1.319,32.82,283.99,4,232.8,5.54,0.41,50,0.6
1.632,35.71,298.38,2,223.1,5.77,0.45,48,0.6
1.632,34.81,300.17,2,164.9,5.73,0.61,42,0.9
0.764,19.87,260.1,2,194,6.79,0.47,60,0.6
0.451,18.85,263.99,2,232.8,6.95,0.52,53,0.8
0.972,22.18,250.27,2,1425.9,7.12,0.56,54,0.6
1.354,32.18,273.66,2,223.1,5.55,0.5,50,0.6
1.389,34.04,284,2,242.5,5.61,0.49,55,0.9
1.771,36.09,312.15,2,213.4,5.52,0.57,45,0.5
1.181,32.37,244.13,4,232.8,5.36,0.58,50,0.5
1.389,32.31,262.43,1,252.2,5.35,0.54,55,0.5
1.493,32.95,291.45,2,213.4,5.14,0.59,58,0.8
1.007,20.19,483.12,10,223.1,7.07,0.57,95,0.7
0.833,19.62,470.41,2,155.2,7.04,0.63,57,0.8
1.493,21.41,434.82,2,184.3,7.23,0.63,86,0.9
1.25,22.12,468,3,194,7.51,0.51,85,0.9
1.25,20.32,484.28,6,194,7.46,0.69,93,0.7
0.833,17.69,533.7,2,194,7.45,0.57,78,0.7
1.91,21.15,595.52,2,203.7,7.58,0.74,53,0.5
1.111,17.37,601.01,2,174.6,7.77,0.64,39,0.9
0.903,24.42,228.37,2,194,6.22,0.54,90,0.5
1.111,23.59,436.2,2,184.3,6.96,0.7,36,0.8
1.319,32.95,257.8,2,194,6.12,0.5,30,0.5
1.493,26.03,408.13,2,164.9,6.5,0.47,84,0.6
1.111,24.49,354.02,2,174.6,6.82,0.52,66,0.9
1.181,26.67,339.77,3,184.3,6.94,0.54,66,0.6
2.604,24.62,587.67,2,174.6,7.36,0.75,69,0.8
1.979,21.6,610.11,2,194,7.41,0.28,97,0.6
1.389,19.62,586.59,2,155.2,7.67,0.66,48,0.5
1.25,24.04,413.05,6,174.6,7.48,0.58,90,0.9
2.639,24.1,619.75,2,194,7.52,0.76,70,0.9
1.389,18.08,509.4,3,164.9,7.73,0.57,125,0.5
1.458,16.79,512.68,2,164.9,7.64,0.54,127,0.9
0.937,21.41,538.94,2,194,7.41,0.4,61,0.9
1.215,20.45,584.38,3,155.2,7.75,0.5,39,0.6
1.181,23.27,367.87,3,174.6,7.47,0.52,79,0.6
1.493,31.15,222.45,2,184.3,6.32,0.54,158,0.9
1.215,18.97,580.18,3,194,7.64,0.75,44,0.8
2.882,27.69,569.79,2,194,7.56,0.95,67,0.6
1.215,15,581.73,2,155.2,7.76,0.66,133,0.7
1.319,21.54,594.98,4,194,7.5,0.6,102,0.6
1.944,18.85,542,19,155.2,7.72,0.55,58,0.5
2.951,26.99,608.95,14,164.9,7.62,0.77,61,0.6
2.674,25.45,564.21,10,194,7.59,0.78,67,0.7
0.868,22.05,367.64,4,184.3,7.35,0.7,60,0.8
2.361,24.29,594.15,12,184.3,7.56,0.77,66,0.7
2.431,24.29,556.6,24,194,7.61,0.68,69,0.8
1.25,19.23,349.45,11,194,7.78,0.98,45,0.5
0.972,23.21,592.09,6,174.6,7.36,0.63,33,0.8
1.111,19.36,451.87,10,164.9,7.75,0.78,44,0.6
1.146,15.32,572.54,6,155.2,7.89,0.48,66,0.8
1.007,18.14,602.44,7,174.6,7.87,0.75,44,0.9
1.25,21.67,367.93,13,164.9,7.75,0.55,87,0.8
2.396,24.36,292.23,8,155.2,7.07,0.75,31,0.7
0.903,13.65,320.36,4,126.1,7.65,0.71,127,0.7
0.694,18.4,602,6,232.8,6.83,0.51,71,0.7
3.576,22.63,589.08,36,271.6,6.12,1.22,297,0.9
4.653,25.32,509.49,13,252.2,6.01,1.04,291,0.5
4.931,18.08,498.63,21,223.1,5.95,0.7,235,0.6
4.687,17.88,574.14,21,194,5.92,0.94,239,0.8
4.514,14.36,315.87,31,213.4,5.99,0.78,233,0.6
5.278,14.94,346.53,27,291,5.9,0.92,242,0.9
4.583,23.59,333.78,26,349.2,6.16,1.27,300,0.5
4.201,18.85,350.43,93,223.1,6.07,0.66,283,0.9
3.993,21.73,595.11,33,242.5,6.28,1.1,290,0.5
1.597,11.79,581.18,16,194,7.2,0.79,232,0.9
4.757,15.77,299.5,15,174.6,6.05,0.71,229,0.9
2.361,15.19,598.84,29,232.8,7.18,0.87,258,0.7
5.417,14.68,300.8,26,203.7,6.08,0.93,232,0.6
3.993,16.73,282.2,66,223.1,6.16,0.94,237,0.9
3.437,15.45,310.91,26,232.8,6.09,0.83,261,0.9
3.785,16.41,301.26,87,203.7,6.01,0.9,248,0.8
4.514,21.86,453.55,40,184.3,6.34,0.85,258,0.8
3.681,14.29,591.27,18,203.7,6.06,0.59,255,0.5
3.194,13.53,578.98,26,213.4,6.19,0.69,265,0.7
1.701,24.36,351.7,16,203.7,6.98,0.67,179,0.9
1.771,25.96,601.62,23,252.2,7.2,0.69,208,0.7
3.507,14.36,263.51,38,213.4,6.19,0.72,260,0.5
2.049,26.47,272.97,58,203.7,7.03,0.75,232,0.9
1.667,27.56,272.73,63,213.4,7.08,0.66,228,0.9
3.681,14.94,286.8,16,213.4,6.27,0.76,203,0.9
3.785,14.68,306.8,21,213.4,5.93,0.72,244,0.9
4.965,17.82,601.09,33,213.4,6.21,0.59,252,0.8
3.473,20.39,516.76,28,203.7,6.59,0.76,206,0.8
2.433,20.51,340.49,36,174.6,6.17,0.71,243,0.8
2.299,29.73,593.44,30,194,7.03,0.69,196,0.8
1.023,10.15,67.54,28,174.6,5.05,0.57,51,0.7
4.413,22.92,544.98,34,223.1,6.41,0.66,193,0.9
4.614,20.33,446.52,24,213.4,6.33,0.67,216,0.5
5.218,14.67,310.76,50,223.1,6.03,0.77,230,0.7
4.715,15.09,300.57,16,223.1,6.02,0.73,258,0.9
4.279,16.66,390.41,16,242.5,6.18,0.72,230,0.8
2.668,17.68,261.22,35,194,5.61,0.83,149,0.9
2.332,22.56,559.87,16,239.2,6.95,0.6,216,0.9
4.581,18.58,459.85,16,208,6.53,0.77,218,0.7
4.748,15.03,296.53,18,197.6,6.04,0.81,235,0.6
5.352,16.36,328.75,21,208,6.09,0.66,232,0.7
4.077,18.89,574.43,18,218.4,6.65,0.66,213,0.5
2.299,28.04,569.78,21,218.4,7.2,0.86,198,0.8
4.849,21.05,518.54,32,208,6.42,0.66,236,0.7
1.493,41.3,584.72,40,228.8,5.55,0.86,308,0.7
1.359,16.54,236.64,21,228.8,5.01,0.57,301,0.8
1.997,29.25,589.1,23,239.2,6.98,0.77,191,0.5
0.923,8.102,153.48,8,218.4,4.91,0.51,292,0.8
1.124,17.02,395.83,2,249.6,7,0.66,230,0.7
4.748,13.28,320.62,44,156,6.1,0.67,244,0.8
3.943,17.62,478.11,21,187.2,6.32,0.66,223,0.9
5.084,15.63,301.37,16,218.4,6.06,0.64,241,0.7
4.782,28.16,570.14,25,228.8,7.01,0.66,183,0.6
3.674,26.05,560.17,50,218.4,6.79,0.73,195,0.7
5.084,23.58,472.64,20,208,6.39,0.71,235,0.9
2.5,32.14,590.14,17,228.8,7.12,0.79,194,0.6
3.574,12.8,264.5,17,218.4,6.26,0.68,269,0.7
4.849,14.55,327.13,45,176.8,5.85,0.72,255,0.9
3.909,23.46,601.09,55,228.8,6.59,0.67,192,0.7
5.252,17.92,369.1,50,208,6.19,0.61,226,0.9
5.52,15.81,280.77,52,239.2,5.95,0.79,238,0.6
4.144,23.89,537.14,55,208,6.48,0.72,239,0.6
2.366,26.72,598.19,50,228.8,6.97,0.78,188,0.7
2.701,29.31,566.5,55,208,7.04,0.72,189,0.9
4.581,17.74,369.59,50,208,6.33,0.63,229,0.8
4.614,17.44,390.98,45,228.8,6.33,0.65,246,0.9
4.782,16.3,307.59,57,187.2,6.01,0.73,250,0.6
2.466,29.25,576.48,45,239.2,6.93,0.77,192,0.7
3.943,19.49,488.83,47,218.4,6.51,0.59,240,0.7
4.681,16.17,429.93,52,218.4,6.29,0.52,236,0.7
2.265,24.07,595.14,42,187.2,7.02,0.7,172,0.5
4.916,15.03,324.17,56,197.6,6.01,0.8,229,0.8
6.963,24.91,528.34,50,208,6.88,0.86,217,0.7
1.25,16.3,315.49,45,208,6.69,0.69,236,0.6
4.715,15.75,457.08,57,228.8,6.13,0.68,232,0.8
7.668,29.13,401.69,47,228.8,6.44,0.63,249,0.7
4.111,18.46,323.62,47,249.6,6.35,0.65,242,0.6
4.346,33.77,603.38,51,239.2,6.06,0.71,198,0.9
1.393,47.02,302.93,51,228.8,7.13,0.76,175,0.8
4.144,16.17,315.2,50,104,7.26,0.66,243,0.8
5.285,18.04,282.33,44,228.8,6.33,0.66,226,0.6
0.956,7.139,322.8,17,228.8,4.82,0.94,295,0.5
5.218,18.28,266.06,46,187.2,6.23,0.63,259,0.9
3.171,13.95,587.64,6,166.4,7.5,0.83,132,0.6
2.366,35.51,367.61,5,187.2,6.81,0.69,287,0.5
2.265,28.64,507.18,24,218.4,7.51,0.64,77,0.9
0.721,7.078,114.42,12,187.2,4.58,0.59,234,0.5
2.936,6.898,311.26,18,270.4,6.75,0.7,290,0.6
0.755,14.43,199.69,7,228.8,4.81,1,255,0.5
4.413,14.61,324.25,109,249.6,5.45,0.87,261,0.8
1.191,9.066,213.31,12,208,4.83,0.84,282,0.6
1.326,20.03,269.57,13,208,4.98,0.8,168,0.6
2.064,11.23,592.64,61,218.4,7.03,0.81,200,0.9
1.661,31.3,584.33,49,260,5.09,0.85,269,0.9
1.862,23.4,214.98,12,208,5.09,0.67,269,0.7
3.775,11.72,279.69,24,228.8,5.74,0.83,232,0.7
2.198,19.01,588.14,14,280.8,5.68,1.04,298,0.8
2.701,18.34,594.35,58,239.2,7.18,0.84,298,0.6
3.607,10.69,409.67,3,208,7.66,0.8,177,0.6
4.547,23.83,418.56,17,239.2,4.84,0.9,286,0.5
5.185,15.51,261.7,68,239.2,5.91,0.89,235,0.8
1.728,11.9,493.85,106,228.8,6.76,0.7,300,0.5
1.56,15.21,164.81,18,208,5.91,0.73,172,0.9
1.795,13.46,62.74,66,187.2,5.15,0.91,48,0.6
1.762,27.86,128.69,102,249.6,6.43,0.7,19,0.9
1.695,14.19,64.84,144,260,4.74,0.93,47,0.6
1.359,7.319,159.22,31,176.8,7.25,0.65,142,0.9
0.99,8.283,65.9,71,208,5.5,0.55,77,0.9
2.466,19.43,314.77,3,208,6.64,0.77,266,0.8
1.896,13.4,419.73,10,218.4,7.56,0.75,201,0.8
0.755,4.91,456.43,92,197.6,6.34,0.66,70,0.5
0.822,4.187,31.59,57,176.8,5.19,0.41,83,0.8
1.057,37.5,471.5,13,208,6.75,1.12,184,0.9
2.265,26.42,113.38,18,208,5.93,1.11,110,0.8
1.057,31.36,441.7,15,197.6,5.62,0.78,231,0.9
1.191,5.693,43.65,26,228.8,5.15,0.66,60,0.9
1.091,6.958,58.99,65,197.6,5.06,0.67,55,0.6
0.688,16.72,152.74,45,208,4.62,0.59,289,0.9
1.728,26.66,580.59,14,176.8,7.23,0.94,275,0.7
2.836,23.83,350.36,10,260,5.48,0.66,244,0.9
2.198,16.17,129.69,47,156,6.39,0.89,32,0.9
0.889,11.05,134.1,12,239.2,5.02,0.99,240,0.7
1.594,18.89,503.99,44,228.8,6.8,0.8,223,0.8
1.225,30.27,179.9,52,176.8,6.28,1.1,132,0.6
0.721,34.55,519.89,11,187.2,7.08,0.91,238,0.9
0.52,12.38,287.58,9,208,5.49,0.67,278,0.8
1.258,10.39,71.66,99,156,6.38,0.68,57,0.7
2.03,14.13,154.09,43,187.2,6.62,1.04,131,0.8
1.057,20.39,523.56,9,176.8,6.19,0.06,238,0.9
3.037,46.66,456.45,13,260,4.95,0.71,74,0.6
0.789,25.03,185,17,239.2,5.04,0.91,140,0.5
0.52,24.49,229.26,15,156,5.98,0.66,270,0.5
0.956,13.64,334.63,65,228.8,6.91,0.44,97,0.8
0.453,16.3,576.64,16,260,5.96,0.91,238,0.8
1.762,29.01,160.73,6,239.2,5.65,0.69,295,0.6
3.372,37.08,599.04,75,374.4,5.47,1.01,275,0.6
3.372,7.982,45.54,64,187.2,5.81,0.51,232,0.8
3.305,23.04,610.91,20,270.4,6.7,0.93,66,0.9
1.091,15.03,401.24,66,218.4,6.85,1.71,61,0.6
2.299,26.72,407.28,20,239.2,5.96,0.94,170,0.8
1.124,8.464,54.89,73,208,5.37,0.71,57,0.7
1.896,11.36,94.52,12,176.8,5.43,1.23,96,0.5
0.688,13.28,168.22,9,197.6,5.47,0.92,275,0.8
0.319,24.49,293.87,32,208,6.06,0.61,290,0.9
2.366,13.46,469.24,53,416,7.56,1.37,296,0.7
2.064,50.75,314.14,104,239.2,6.5,0.89,63,0.5
2.064,18.64,421.71,103,176.8,6.73,0.82,107,0.8
2.961,24.59,585.48,24,260,6.26,0.75,261,0.5
2.374,20.03,395.72,109,187.2,5.57,0.01,76,0.7
2.318,8.179,97.29,57,208,5.25,1.32,79,0.7
2.458,7.799,143.61,69,239.2,5.39,0.05,111,0.5
2.458,9.918,492.63,54,187.2,6.05,0.92,87,0.8
1.369,29.38,357.2,25,176.8,6.05,0.72,269,0.7
1.76,9.049,260.86,106,260,5.92,0.46,181,0.7
2.961,8.451,618.41,114,208,6.11,1.04,113,0.5
2.905,15.14,387.52,53,280.8,5.23,0.46,48,0.5
4.218,8.723,493.33,11,208,7.45,1.08,273,0.8
1.201,16.98,323.86,5,187.2,6.45,0.75,115,0.8
0.978,31.6,312.91,13,208,5.91,1.05,287,0.6
4.916,25.84,201.62,48,249.6,5.13,1.15,66,0.9
3.911,37.42,303.52,72,239.2,5.32,0.98,31,0.6
1.927,11.55,591.93,47,208,7.19,1.05,290,0.9
1.006,16.55,369.72,89,176.8,6.36,0.75,260,0.5
2.542,18.29,223.9,166,208,7.25,0.77,583,0.9
4.302,43.89,500.14,44,280.8,5.29,0.9,290,0.6
3.268,41.93,591.43,20,249.6,6.67,1.21,300,0.9
2.737,35.03,577.8,26,228.8,5.3,1.01,240,0.7
2.793,24.65,596.01,11,218.4,7.28,0.47,246,0.9
2.598,32.47,499.93,39,197.6,5.91,0.65,259,0.5
1.872,13.94,434.58,15,228.8,7.62,0.67,278,0.9
2.095,11.88,230.32,35,208,6.05,1.2,78,0.9
2.095,12.42,597.78,57,228.8,6.05,0.63,258,0.7
2.095,38.45,593.76,27,239.2,7.27,1.11,295,0.9
4.106,27.36,440.93,86,218.4,6.25,0.94,73,0.9
4.19,31.71,588.78,82,436.8,7,1.21,250,0.8
2.458,23.07,603.04,54,312,6.36,1.12,78,0.6
3.939,27.53,612.06,80,426.4,6.64,1.02,278,0.7
2.374,17.09,65.28,31,197.6,4.69,0.68,49,0.9
2.318,16.82,446.68,211,239.2,5.86,1.04,127,0.8
2.346,19.92,135.26,24,249.6,4.96,0.68,260,0.8
2.374,25.68,148.07,29,208,4.99,0.67,128,0.8
2.542,20.46,396.99,50,239.2,6.78,0.65,254,0.7
2.514,34.92,180.41,8,249.6,5.7,0.63,109,0.5
3.659,31.6,410.06,5,218.4,5.58,0.83,297,0.6
1.872,20.95,424.02,33,228.8,5.19,1.12,288,0.5
2.542,26.98,599.48,61,208,6.62,0.81,295,0.7
2.039,12.31,524.58,13,218.4,7.67,0.68,238,0.9
2.402,56.11,545.62,15,228.8,5.52,1.03,121,0.9
3.296,38.89,124.24,38,218.4,4.82,0.78,57,0.9
2.57,25.3,370.81,42,166.4,6.93,0.8,79,0.6
4.665,29.59,338.39,18,187.2,6.71,1.08,252,0.6
3.128,32.31,383.58,19,218.4,6.12,0.83,220,0.7
2.095,51.01,178.81,19,249.6,5.91,0.72,42,0.9
2.654,14.38,347.52,41,176.8,6.79,0.67,51,0.8
3.631,37.31,403.61,30,218.4,5.83,1.5,35,0.6
3.212,29.16,171.05,76,176.8,5.75,0.71,45,0.9
1.899,19.1,331.82,6,208,7.1,0.81,289,0.5
2.765,13.99,504.31,52,176.8,7.19,0.7,294,0.5
5.726,12.64,277.48,42,187.2,6.02,0.9,208,0.6
2.765,20.46,278.64,16,228.8,6.85,0.64,271,0.5
6.061,32.42,600.08,76,270.4,6.73,1.85,186,0.5
1.844,8.56,130.66,36,270.4,5.04,0.61,77,0.8
1.453,7.962,48.52,48,187.2,4.94,0.73,259,0.7
2.039,27.74,589.48,25,260,6.73,0.94,278,0.9
2.291,22.8,308.8,9,208,4.82,0.97,291,0.8
1.704,13.23,330.4,14,208,6.87,0.76,181,0.7
4.497,17.31,316.2,43,208,6.29,0.8,234,0.5
4.751,18.99,226.39,120,208,6.07,0.48,226,0.6
5.414,12.6,271.89,54,208,5.87,0.75,211,0.7
5.028,16.39,238.32,41,218.4,5.96,0.65,219,0.9
5.718,17.88,254.62,56,176.8,5.81,0.67,210,0.6
4.972,15.14,247.07,71,197.6,5.97,0.97,235,0.8
5.856,14.62,247.39,50,208,5.93,0.73,225,0.5
5.801,17.36,261.54,54,228.8,5.87,0.83,218,0.9
4.917,16.15,232.39,53,208,5.93,0.72,215,0.7
6.188,16.78,254.1,57,218.4,5.82,0.74,272,0.9
5.055,17.45,244.6,58,208,5.91,0.84,199,0.8
5.028,15.91,242.45,43,208,5.97,0.7,216,0.7
5.525,16.78,239.61,43,239.2,5.9,0.79,221,0.9
4.669,20,219.51,67,208,5.92,0.72,207,0.6
5.525,16.44,199.4,67,228.8,6.03,0.74,220,0.5
3.204,19.9,545.66,40,197.6,7.42,0.71,298,0.8
5.856,18.75,263.33,48,208,5.83,0.91,220,0.6
5.552,16.97,236.48,59,208,5.73,0.89,209,0.8
5.083,13.61,538.65,37,197.6,5.75,0.69,213,0.9
5.304,19.37,238.42,65,208,5.97,0.65,224,0.8
3.177,16.73,337.4,25,208,7.18,0.78,292,0.5
5.387,14.57,237.4,45,208,5.92,0.9,143,0.6
6.464,17.36,245.81,39,218.4,5.8,0.87,127,0.5
3.039,14.9,290.44,60,228.8,6.47,0.7,166,0.7
3.923,21.01,587.09,30,239.2,7.1,0.79,292,0.5
3.094,18.17,588.06,37,208,7.16,0.72,280,0.7
6.74,17.36,254.61,41,218.4,6.02,0.72,233,0.8
3.011,13.37,410.28,3,208,7.46,1.18,196,0.8
5.359,14.52,245.9,36,260,5.89,1.04,203,0.5
3.011,18.89,296.9,26,208,5.14,1,253,0.8
5.221,18.85,202.23,80,218.4,6.03,0.83,233,0.7
